container_code,organisation_id,schedule_code
"1","3","4535"
"1","34","4535"
"1","1409","4535"
"1","1410","4535"
"2","3","4535"
"2","1409","4535"
"2","1410","4535"
"3","3","4535"
"4","3","4535"
"4","1409","4535"
"5","3","4535"
"6","3","4535"
"6","34","4535"
"6","57","4535"
"6","1409","4535"
"6","1410","4535"
"7","3","4535"
"8","3","4535"
"8","34","4535"
"8","57","4535"
"8","1408","4535"
"8","1409","4535"
"8","1410","4535"
"9","1409","4535"
"9","1410","4535"
"10","34","4535"
"10","1410","4535"
"11","3","4535"
"11","34","4535"
"11","1408","4535"
"11","1409","4535"
"11","1410","4535"
"12","1409","4535"
"13","57","4535"
"13","1409","4535"
"14","1409","4535"
"14","1410","4535"
"15","57","4535"
"15","1409","4535"
"15","1410","4535"
"16","1410","4535"
"17","1409","4535"
"17","1410","4535"
"18","57","4535"
"18","1409","4535"
"18","1410","4535"
"19","4","4535"
"54305","1409","4535"
"54306","1409","4535"
"54306","1410","4535"
"54307","4","4535"
