criteria_prescribing_txt_id,parameter_prescribing_txt_id,pt_position,schedule_code
"7601","7600","1","4535"
"7603","7602","1","4535"
"7613","7612","1","4535"
"7701","7700","1","4535"
"7705","7704","1","4535"
"7715","7713","1","4535"
"7715","7714","2","4535"
"7717","7716","1","4535"
"7719","7718","1","4535"
"7721","7720","1","4535"
"7723","7722","1","4535"
"7727","7726","1","4535"
"7736","7735","1","4535"
"7736","7714","2","4535"
"7738","7737","1","4535"
"7745","7744","1","4535"
"7773","7772","1","4535"
"7779","7778","1","4535"
"7781","7780","1","4535"
"7792","7791","1","4535"
"7844","7843","1","4535"
"7848","7847","1","4535"
"7853","7852","1","4535"
"7855","7854","1","4535"
"7859","7858","1","4535"
"7863","7862","1","4535"
"7875","7874","1","4535"
"7880","7879","1","4535"
"7890","7889","1","4535"
"7897","7896","1","4535"
"7899","7898","1","4535"
"7904","7903","1","4535"
"7908","7907","1","4535"
"7910","7909","1","4535"
"7914","7913","1","4535"
"7916","7915","1","4535"
"7934","7933","1","4535"
"7970","7969","1","4535"
"7986","7985","1","4535"
"7989","7988","1","4535"
"7996","7995","1","4535"
"8002","8001","1","4535"
"8006","8005","1","4535"
"8008","8007","1","4535"
"8013","8012","1","4535"
"8018","8017","1","4535"
"8024","8023","1","4535"
"8052","8051","1","4535"
"8057","8055","1","4535"
"8057","8056","2","4535"
"8059","8058","1","4535"
"8066","8065","1","4535"
"8071","8070","1","4535"
"8077","8076","1","4535"
"8092","8091","1","4535"
"8102","8101","1","4535"
"8104","8103","1","4535"
"8116","8115","1","4535"
"8118","8117","1","4535"
"8129","8128","1","4535"
"8143","8142","1","4535"
"8148","8147","1","4535"
"8150","8149","1","4535"
"8173","8172","1","4535"
"8216","8215","1","4535"
"8220","8219","1","4535"
"8224","8223","1","4535"
"8226","8225","1","4535"
"8229","8228","1","4535"
"8233","8232","1","4535"
"8273","8272","1","4535"
"8277","8276","1","4535"
"8316","8315","1","4535"
"8319","8318","1","4535"
"8325","8324","1","4535"
"8337","8336","1","4535"
"8384","8383","1","4535"
"8392","8391","1","4535"
"8409","8408","1","4535"
"8431","8430","1","4535"
"8484","8483","1","4535"
"8486","8485","1","4535"
"8491","8490","1","4535"
"8495","8494","1","4535"
"8497","8496","1","4535"
"8502","8501","1","4535"
"8504","8503","1","4535"
"8506","8505","1","4535"
"8509","8508","1","4535"
"8511","8510","1","4535"
"8514","8513","1","4535"
"8516","8515","1","4535"
"8518","8517","1","4535"
"8524","8523","1","4535"
"8530","8529","1","4535"
"8534","8533","1","4535"
"8539","8537","1","4535"
"8539","8538","2","4535"
"8584","8583","1","4535"
"8594","8593","1","4535"
"8596","8595","1","4535"
"8598","8597","1","4535"
"8603","8599","1","4535"
"8603","8601","2","4535"
"8603","8602","3","4535"
"8605","8604","1","4535"
"8621","8620","1","4535"
"8625","8624","1","4535"
"8657","8656","1","4535"
"8659","8658","1","4535"
"8661","8660","1","4535"
"8663","8662","1","4535"
"8665","8664","1","4535"
"8678","8677","1","4535"
"8680","8679","1","4535"
"8685","8684","1","4535"
"8721","8720","1","4535"
"8726","8725","1","4535"
"8734","8731","1","4535"
"8734","8732","2","4535"
"8734","8733","3","4535"
"8738","8737","1","4535"
"8746","8745","1","4535"
"8751","8750","1","4535"
"8762","8761","1","4535"
"8767","8766","1","4535"
"8770","8769","1","4535"
"8774","8773","1","4535"
"8776","8775","1","4535"
"8780","8779","1","4535"
"8789","8788","1","4535"
"8796","8795","1","4535"
"9009","9008","1","4535"
"9019","9018","1","4535"
"9057","9056","1","4535"
"9059","9058","1","4535"
"9061","9060","1","4535"
"9063","9062","1","4535"
"9070","9069","1","4535"
"9084","9083","1","4535"
"9089","9088","1","4535"
"9093","9092","1","4535"
"9100","7909","1","4535"
"9100","9099","2","4535"
"9104","9103","1","4535"
"9121","9120","1","4535"
"9123","9122","1","4535"
"9127","9126","1","4535"
"9136","9135","1","4535"
"9143","9142","1","4535"
"9150","9149","1","4535"
"9167","9163","1","4535"
"9167","9164","2","4535"
"9167","9165","3","4535"
"9167","9166","4","4535"
"9169","9168","1","4535"
"9173","9172","1","4535"
"9186","9185","1","4535"
"9188","9187","1","4535"
"9206","9205","1","4535"
"9227","9226","1","4535"
"9245","9244","1","4535"
"9256","9255","1","4535"
"9261","9260","1","4535"
"9263","9262","1","4535"
"9265","9264","1","4535"
"9271","9270","1","4535"
"9275","9272","1","4535"
"9275","9274","2","4535"
"9336","9335","1","4535"
"9343","9342","1","4535"
"9345","9344","1","4535"
"9347","9346","1","4535"
"9349","9348","1","4535"
"9376","9374","1","4535"
"9376","9375","2","4535"
"9378","9377","1","4535"
"9383","9382","1","4535"
"9399","9337","1","4535"
"9399","9398","2","4535"
"9405","9391","1","4535"
"9405","9404","2","4535"
"9415","9414","1","4535"
"9420","9419","1","4535"
"9431","9430","1","4535"
"9433","9432","1","4535"
"9437","9436","1","4535"
"9439","9438","1","4535"
"9442","9441","1","4535"
"9445","9444","1","4535"
"9448","9447","1","4535"
"9451","9450","1","4535"
"9454","9453","1","4535"
"9457","9456","1","4535"
"9459","9458","1","4535"
"9461","9460","1","4535"
"9463","9462","1","4535"
"9465","9464","1","4535"
"9481","9480","1","4535"
"9507","9505","1","4535"
"9507","9506","2","4535"
"9512","9511","1","4535"
"9515","9514","1","4535"
"9539","9538","1","4535"
"9544","9543","1","4535"
"9546","9545","1","4535"
"9586","9585","1","4535"
"9591","9590","1","4535"
"9593","9592","1","4535"
"9596","9595","1","4535"
"9599","9598","1","4535"
"9602","9601","1","4535"
"9628","9627","1","4535"
"9653","9652","1","4535"
"9656","9655","1","4535"
"9662","9661","1","4535"
"9665","9664","1","4535"
"9673","9672","1","4535"
"9681","9679","1","4535"
"9681","9680","2","4535"
"9692","7909","1","4535"
"9692","9690","2","4535"
"9704","9702","1","4535"
"9704","9703","2","4535"
"9708","9707","1","4535"
"9710","9709","1","4535"
"9727","9725","1","4535"
"9727","9726","2","4535"
"9735","9702","1","4535"
"9735","9734","2","4535"
"9740","9702","1","4535"
"9740","9739","2","4535"
