criteria_prescribing_txt_id,criteria_type,parameter_relationship,schedule_code
"7601","CLINICAL","ANY","4535"
"7603","CLINICAL","ANY","4535"
"7613","CLINICAL","ANY","4535"
"7701","CLINICAL","ANY","4535"
"7705","CLINICAL","ANY","4535"
"7715","TREATMENT","ANY","4535"
"7717","CLINICAL","ANY","4535"
"7719","CLINICAL","ANY","4535"
"7721","CLINICAL","ANY","4535"
"7723","CLINICAL","ANY","4535"
"7727","CLINICAL","ANY","4535"
"7736","TREATMENT","ANY","4535"
"7738","CLINICAL","ANY","4535"
"7745","CLINICAL","ANY","4535"
"7773","CLINICAL","ANY","4535"
"7779","CLINICAL","ANY","4535"
"7781","TREATMENT","ANY","4535"
"7792","CLINICAL","ANY","4535"
"7844","CLINICAL","ANY","4535"
"7848","CLINICAL","ANY","4535"
"7853","CLINICAL","ANY","4535"
"7855","CLINICAL","ANY","4535"
"7859","CLINICAL","ANY","4535"
"7863","TREATMENT","ANY","4535"
"7875","CLINICAL","ANY","4535"
"7880","CLINICAL","ANY","4535"
"7890","CLINICAL","ANY","4535"
"7897","CLINICAL","ANY","4535"
"7899","CLINICAL","ANY","4535"
"7904","CLINICAL","ANY","4535"
"7908","CLINICAL","ANY","4535"
"7910","CLINICAL","ANY","4535"
"7914","CLINICAL","ANY","4535"
"7916","CLINICAL","ANY","4535"
"7934","CLINICAL","ANY","4535"
"7970","CLINICAL","ANY","4535"
"7986","CLINICAL","ANY","4535"
"7989","CLINICAL","ANY","4535"
"7996","CLINICAL","ANY","4535"
"8002","CLINICAL","ANY","4535"
"8006","POPULATION","ANY","4535"
"8008","CLINICAL","ANY","4535"
"8013","CLINICAL","ANY","4535"
"8018","CLINICAL","ANY","4535"
"8024","CLINICAL","ANY","4535"
"8052","TREATMENT","ANY","4535"
"8057","CLINICAL","ANY","4535"
"8059","CLINICAL","ANY","4535"
"8066","CLINICAL","ANY","4535"
"8071","POPULATION","ANY","4535"
"8077","CLINICAL","ANY","4535"
"8092","CLINICAL","ANY","4535"
"8102","CLINICAL","ANY","4535"
"8104","CLINICAL","ANY","4535"
"8116","POPULATION","ANY","4535"
"8118","CLINICAL","ANY","4535"
"8129","CLINICAL","ANY","4535"
"8143","CLINICAL","ANY","4535"
"8148","CLINICAL","ANY","4535"
"8150","CLINICAL","ANY","4535"
"8173","CLINICAL","ANY","4535"
"8216","CLINICAL","ANY","4535"
"8220","CLINICAL","ANY","4535"
"8224","CLINICAL","ANY","4535"
"8226","CLINICAL","ANY","4535"
"8229","CLINICAL","ANY","4535"
"8233","CLINICAL","ANY","4535"
"8273","TREATMENT","ANY","4535"
"8277","CLINICAL","ANY","4535"
"8316","TREATMENT","ANY","4535"
"8319","CLINICAL","ANY","4535"
"8325","CLINICAL","ANY","4535"
"8337","CLINICAL","ANY","4535"
"8384","POPULATION","ANY","4535"
"8392","CLINICAL","ANY","4535"
"8409","CLINICAL","ANY","4535"
"8431","CLINICAL","ANY","4535"
"8484","CLINICAL","ANY","4535"
"8486","CLINICAL","ANY","4535"
"8491","CLINICAL","ANY","4535"
"8495","CLINICAL","ANY","4535"
"8497","CLINICAL","ANY","4535"
"8502","CLINICAL","ANY","4535"
"8504","CLINICAL","ANY","4535"
"8506","CLINICAL","ANY","4535"
"8509","CLINICAL","ANY","4535"
"8511","CLINICAL","ANY","4535"
"8514","CLINICAL","ANY","4535"
"8516","CLINICAL","ANY","4535"
"8518","CLINICAL","ANY","4535"
"8524","CLINICAL","ANY","4535"
"8530","CLINICAL","ANY","4535"
"8534","CLINICAL","ANY","4535"
"8539","CLINICAL","ANY","4535"
"8584","CLINICAL","ANY","4535"
"8594","CLINICAL","ANY","4535"
"8596","CLINICAL","ANY","4535"
"8598","CLINICAL","ANY","4535"
"8603","CLINICAL","ANY","4535"
"8605","CLINICAL","ANY","4535"
"8621","POPULATION","ANY","4535"
"8625","CLINICAL","ANY","4535"
"8657","TREATMENT","ANY","4535"
"8659","CLINICAL","ANY","4535"
"8661","CLINICAL","ANY","4535"
"8663","CLINICAL","ANY","4535"
"8665","POPULATION","ANY","4535"
"8678","CLINICAL","ANY","4535"
"8680","CLINICAL","ANY","4535"
"8685","CLINICAL","ANY","4535"
"8721","CLINICAL","ANY","4535"
"8726","CLINICAL","ANY","4535"
"8734","CLINICAL","ANY","4535"
"8738","CLINICAL","ANY","4535"
"8746","CLINICAL","ANY","4535"
"8751","CLINICAL","ANY","4535"
"8762","CLINICAL","ANY","4535"
"8767","CLINICAL","ANY","4535"
"8770","CLINICAL","ANY","4535"
"8774","CLINICAL","ANY","4535"
"8776","CLINICAL","ANY","4535"
"8780","CLINICAL","ANY","4535"
"8789","CLINICAL","ANY","4535"
"8796","CLINICAL","ANY","4535"
"9009","CLINICAL","ANY","4535"
"9019","CLINICAL","ANY","4535"
"9057","CLINICAL","ANY","4535"
"9059","CLINICAL","ANY","4535"
"9061","CLINICAL","ANY","4535"
"9063","CLINICAL","ANY","4535"
"9070","CLINICAL","ANY","4535"
"9084","POPULATION","ANY","4535"
"9089","CLINICAL","ANY","4535"
"9093","POPULATION","ANY","4535"
"9100","CLINICAL","ANY","4535"
"9104","CLINICAL","ANY","4535"
"9121","CLINICAL","ANY","4535"
"9123","CLINICAL","ANY","4535"
"9127","CLINICAL","ANY","4535"
"9136","CLINICAL","ANY","4535"
"9143","POPULATION","ANY","4535"
"9150","POPULATION","ANY","4535"
"9167","CLINICAL","ANY","4535"
"9169","POPULATION","ANY","4535"
"9173","CLINICAL","ANY","4535"
"9186","CLINICAL","ANY","4535"
"9188","POPULATION","ANY","4535"
"9206","TREATMENT","ANY","4535"
"9227","CLINICAL","ANY","4535"
