indication_prescribing_txt_id,condition,episodicity,severity,schedule_code
"7597","clear cell variant renal cell carcinoma (RCC)","null","Stage IV","4535"
"7699","Bone metastases","null","null","4535"
"7707","Pernicious anaemia","null","null","4535"
"7710","Proven vitamin B12 deficiencies other than pernicious anaemia","null","null","4535"
"7711","Anaemias associated with vitamin B12 deficiency","null","null","4535"
"7712","established osteoporosis","null","Severe","4535"
"7754","HER2 positive breast cancer","null","Early","4535"
"7771","Prophylaxis of renal allograft rejection","null","null","4535"
"7777","lupus nephritis","null","WHO Class III, IV or V","4535"
"7811","Peptic ulcer","null","null","4535"
"7814","Gastro-oesophageal reflux disease","null","null","4535"
"7815","Scleroderma oesophagus","null","null","4535"
"7816","Zollinger-Ellison syndrome","null","null","4535"
"7841","For a patient who is unable to take a solid dose form of atenolol.","null","null","4535"
"7842","Nausea and vomiting","null","null","4535"
"7851","arthropathies (including osteoarthritis)","Chronic","null","4535"
"7857","Bone pain","null","null","4535"
"7861","pain","null","Severe","4535"
"7869","dry eye syndrome","null","Severe","4535"
"7876","Subfoveal choroidal neovascularisation (CNV)","null","null","4535"
"7895","Deep vein thrombosis","null","null","4535"
"7902","Prevention of recurrent venous thromboembolism","null","null","4535"
"7906","Multiple myeloma","null","null","4535"
"7984","Corticosteroid-induced osteoporosis","null","null","4535"
"7992","Osteoporosis","null","null","4535"
"8000","Established osteoporosis","null","null","4535"
"8022","carcinoma of the prostate","null","Castration resistant metastatic","4535"
"8031","non-small cell lung cancer","null","Locally advanced or metastatic","4535"
"8049","breast cancer","null","Metastatic","4535"
"8050","chronic plaque psoriasis","null","Severe","4535"
"8072","Established post-menopausal osteoporosis","null","null","4535"
"8171","Acute coronary syndrome (myocardial infarction or unstable angina)","null","null","4535"
"8214","Neuropathic pain","null","null","4535"
"8218","Constipation","null","null","4535"
"8235","constipation","null","Chronic","4535"
"8236","Faecal impaction","null","null","4535"
"8271","Bacterial keratitis","null","null","4535"
"8275","Hypertension","null","null","4535"
"8335","Parkinson disease","null","null","4535"
"8482","Alzheimer disease","null","Moderately severe","4535"
"8522","Alzheimer disease","null","Mild to moderately severe","4535"
"8528","Solar keratosis","null","null","4535"
"8532","Solar (actinic) keratosis","null","null","4535"
"8589","Superficial basal cell carcinoma","null","null","4535"
"8619","Nicotine dependence","null","null","4535"
"8635","Prophylaxis of urinary tract infection","null","null","4535"
"8655","Intractable partial epileptic seizures","null","null","4535"
"8676","malignant melanoma","null","Unresectable Stage III or Stage IV","4535"
"8702","Termination of an intra-uterine pregnancy","null","null","4535"
"8724","breast cancer","null","Advanced","4535"
"8728","Ketogenic diet","null","null","4535"
"8747","spasticity","Chronic","null","4535"
"8749","Breakthrough pain","null","null","4535"
"8760","Pulmonary embolism","null","null","4535"
"8764","Prevention of stroke or systemic embolism","null","null","4535"
"8771","Schizophrenia","null","null","4535"
"8772","Gastrointestinal stromal tumour","null","null","4535"
"8995","Diabetes mellitus type 2","null","null","4535"
"9007","HIV infection","null","null","4535"
"9055","Myelodysplastic syndrome","null","null","4535"
"9078","Blepharospasm or hemifacial spasm","null","null","4535"
"9087","Dynamic equinus foot deformity","null","null","4535"
"9098","Spasmodic torticollis","null","null","4535"
"9102","spasticity of the upper limb","null","Moderate to severe","4535"
"9115","primary axillary hyperhidrosis","null","Severe","4535"
