atc_code,pbs_code,atc_priority_pct,schedule_code
"A07AA11","10001J","100","4535"
"L01EC02","10003L","100","4535"
"L01EX01","10004M","100","4535"
"C09DX03","10005N","100","4535"
"R03AK11","10007Q","100","4535"
"R03AK11","10008R","100","4535"
"L01EX01","10009T","100","4535"
"L01EX01","10010W","100","4535"
"A10BK01","10011X","100","4535"
"C01EB17","10012Y","100","4535"
"L01EB02","10014C","100","4535"
"R03AK07","10015D","100","4535"
"V07AY","10017F","100","4535"
"R03AK07","10018G","100","4535"
"L01EB02","10019H","100","4535"
"L01EB02","10020J","100","4535"
"V07AY","10021K","100","4535"
"L01EB02","10022L","100","4535"
"V07AY","10023M","100","4535"
"L01EB02","10025P","100","4535"
"L01EB02","10028T","100","4535"
"V07AY","10029W","100","4535"
"S01AD03","1002R","100","4535"
"A10BD13","10032B","100","4535"
"A10BD13","10033C","100","4535"
"A07EA06","10034D","100","4535"
"A10BD13","10035E","100","4535"
"V06DX","10036F","100","4535"
"A10BD11","10038H","100","4535"
"V06DX","10039J","100","4535"
"J05AB01","1003T","100","4535"
"L01EX03","10041L","100","4535"
"L01EX03","10042M","100","4535"
"L01EX03","10043N","100","4535"
"A10BD11","10044P","100","4535"
"A10BD11","10045Q","100","4535"
"S01EE03","10046R","100","4535"
"L01EX03","10047T","100","4535"
"A10BD10","10048W","100","4535"
"S01EC01","1004W","100","4535"
"A10BD10","10051B","100","4535"
"L01EX03","10052C","100","4535"
"S01EE03","10053D","100","4535"
"L01EX03","10054E","100","4535"
"A10BD10","10055F","100","4535"
"L04AC07","10056G","100","4535"
"L04AB02","10057H","100","4535"
"L04AC07","10058J","100","4535"
"R03BB06","10059K","100","4535"
"L04AC07","10060L","100","4535"
"M05BX04","10061M","100","4535"
"L01AX03","10062N","100","4535"
"L04AC07","10064Q","100","4535"
"J01GB01","10066T","100","4535"
"L04AB02","10067W","100","4535"
"L04AC07","10068X","100","4535"
"L01FE02","10069Y","100","4535"
"L04AC07","10071C","100","4535"
"L04AC07","10072D","100","4535"
"L04AC07","10073E","100","4535"
"J01GB01","10074F","100","4535"
"N07BA01","10076H","100","4535"
"L04AC07","10077J","100","4535"
"L04AC07","10078K","100","4535"
