pbs_code,organisation_id,schedule_code
"100G","3","4535"
"100G","34","4535"
"100G","57","4535"
"100G","1408","4535"
"100G","1410","4535"
"104L","4","4535"
"105M","4","4535"
"106N","4","4535"
"108Q","4","4535"
"113Y","4","4535"
"117E","4","4535"
"117E","34","4535"
"117E","57","4535"
"117E","1408","4535"
"122K","3","4535"
"122K","34","4535"
"122K","1408","4535"
"127Q","34","4535"
"127Q","1408","4535"
"128R","3","4535"
"128R","34","4535"
"128R","57","4535"
"128R","1408","4535"
"132Y","1409","4535"
"156F","4","4535"
"173D","4","4535"
"183P","3","4535"
"183P","5","4535"
"183P","34","4535"
"187W","4","4535"
"189Y","3","4535"
"189Y","1408","4535"
"191C","3","4535"
"191C","4","4535"
"193E","4","4535"
"202P","3","4535"
"214G","3","4535"
"214G","4","4535"
"224T","4","4535"
"228B","4","4535"
"241Q","5","4535"
"251F","4","4535"
"258N","34","4535"
"258N","57","4535"
"258N","1408","4535"
"265Y","4","4535"
"269E","4","4535"
"271G","5","4535"
"271G","57","4535"
"285B","4","4535"
"304B","4","4535"
"307E","34","4535"
"307E","57","4535"
"307E","1408","4535"
"309G","4","4535"
"310H","4","4535"
"310H","57","4535"
"324C","3","4535"
"324C","5","4535"
"324C","34","4535"
"328G","3","4535"
"328G","34","4535"
"328G","57","4535"
"328G","1408","4535"
"332L","3","4535"
"337R","34","4535"
"337R","57","4535"
"337R","1408","4535"
"339W","5","4535"
"341Y","3","4535"
"341Y","4","4535"
"341Y","34","4535"
"341Y","57","4535"
"341Y","1408","4535"
"341Y","1410","4535"
"342B","3","4535"
"342B","34","4535"
"342B","57","4535"
"349J","34","4535"
"349J","57","4535"
"349J","1408","4535"
"352M","3","4535"
"352M","34","4535"
"352M","57","4535"
"352M","1408","4535"
"363D","3","4535"
"363D","57","4535"
"364E","5","4535"
"365F","5","4535"
"368J","34","4535"
"383E","4","4535"
"384F","3","4535"
"384F","34","4535"
"384F","57","4535"
"385G","4","4535"
"386H","3","4535"
"386H","34","4535"
"386H","57","4535"
"386H","1408","4535"
"389L","5","4535"
"390M","34","4535"
"397X","3","4535"
"399B","4","4535"
"399B","1408","4535"
"410N","4","4535"
"416X","4","4535"
"418B","4","4535"
"420D","3","4535"
"420D","4","4535"
"420D","34","4535"
"420D","57","4535"
"420D","1408","4535"
"422F","5","4535"
"425J","3","4535"
"425J","4","4535"
"425J","34","4535"
"425J","1408","4535"
"433T","4","4535"
"452T","3","4535"
"452T","4","4535"
"452T","34","4535"
"452T","1408","4535"
"452T","1410","4535"
"456B","4","4535"
"457C","4","4535"
"457C","34","4535"
"466M","5","4535"
"477D","3","4535"
"477D","34","4535"
"477D","57","4535"
"477D","1408","4535"
"479F","3","4535"
"479F","4","4535"
"480G","3","4535"
"480G","34","4535"
"480G","57","4535"
"480G","1408","4535"
"483K","3","4535"
"483K","34","4535"
"483K","57","4535"
"483K","1408","4535"
"500H","57","4535"
"500H","1408","4535"
"502K","3","4535"
"502K","4","4535"
"516E","4","4535"
"516E","34","4535"
"516E","57","4535"
"532B","34","4535"
"532B","1408","4535"
"540K","4","4535"
"542M","4","4535"
"544P","4","4535"
"544P","34","4535"
"544P","57","4535"
"544P","1408","4535"
"575G","4","4535"
"590C","3","4535"
"590C","34","4535"
"590C","1408","4535"
"592E","34","4535"
"592E","57","4535"
"592E","1408","4535"
"594G","3","4535"
"594G","1408","4535"
"595H","34","4535"
"595H","57","4535"
"598L","4","4535"
"600N","4","4535"
"612F","4","4535"
"653J","4","4535"
"656M","4","4535"
"660R","3","4535"
"660R","34","4535"
"660R","1408","4535"
"664Y","4","4535"
"672J","3","4535"
"672J","34","4535"
"672J","57","4535"
"672J","1408","4535"
"672J","1410","4535"
"674L","4","4535"
"678Q","4","4535"
"692K","3","4535"
"692K","57","4535"
"700W","3","4535"
"700W","1408","4535"
"702Y","3","4535"
"702Y","34","4535"
"702Y","57","4535"
"702Y","1408","4535"
"703B","3","4535"
"703B","5","4535"
"703B","57","4535"
"705D","3","4535"
"705D","57","4535"
"710J","1409","4535"
"712L","5","4535"
"713M","1408","4535"
"715P","3","4535"
"715P","34","4535"
"715P","57","4535"
"715P","1408","4535"
"715P","1410","4535"
"716Q","34","4535"
"716Q","57","4535"
"716Q","1408","4535"
"717R","5","4535"
"718T","4","4535"
"719W","34","4535"
