li_item_id,percentage_applied,event_type_code,schedule_code
"10083Q_13920_30778_30779_30783","71.88","SPR_SINGLE_PD","4535"
"10083Q_13920_30778_30779_54709","71.88","SPR_SINGLE_PD","4535"
"10083Q_13920_30778_30779_58055","71.88","SPR_SINGLE_PD","4535"
"10084R_13920_30778_30779_30783","71.88","SPR_SINGLE_PD","4535"
"10084R_13920_30778_30779_54709","71.88","SPR_SINGLE_PD","4535"
"10084R_13920_30778_30779_58055","71.88","SPR_SINGLE_PD","4535"
"10279B_10200_1250_5578_41433","22.81","SPR_SINGLE_PD","4535"
"10279B_10200_1250_5578_41438","22.81","SPR_SINGLE_PD","4535"
"10279B_10200_1250_5578_42070","22.81","SPR_SINGLE_PD","4535"
"10279B_10200_1250_5578_42203","22.81","SPR_SINGLE_PD","4535"
"10279B_10200_1250_5578_47507","22.81","SPR_SINGLE_PD","4535"
"10279B_10200_1250_5578_56851","22.81","SPR_SINGLE_PD","4535"
"10279B_10200_1250_5578_58642","22.81","SPR_SINGLE_PD","4535"
"10293R_10285_1367_5878_53366","31.11","SPR_SINGLE_PD","4535"
"10293R_10285_1367_5878_53370","31.11","SPR_SINGLE_PD","4535"
"10293R_10285_1367_5878_53374","31.11","SPR_SINGLE_PD","4535"
"10293R_10285_1367_5878_53519","31.11","SPR_SINGLE_PD","4535"
"10293R_10285_1367_5878_53531","31.11","SPR_SINGLE_PD","4535"
"10293R_10285_1367_5878_7155","31.11","SPR_SINGLE_PD","4535"
"10306K_10196_1155_5293_43205","-27.44","SPR_SINGLE_PD","4535"
"10306K_10196_1155_5293_54939","-27.44","SPR_SINGLE_PD","4535"
"10353X_9511_1250_5579_41427","22.81","SPR_SINGLE_PD","4535"
"10353X_9511_1250_5579_41432","22.81","SPR_SINGLE_PD","4535"
"10353X_9511_1250_5579_47506","22.81","SPR_SINGLE_PD","4535"
"10353X_9511_1250_5579_57472","22.81","SPR_SINGLE_PD","4535"
"10353X_9511_1250_5579_58641","22.81","SPR_SINGLE_PD","4535"
"10357D_11634_1223_5493_57354","15.36","SPR_COMBO_PD","4535"
"10386P_16237_33785_33793_33795","30.78","SPR_SINGLE_PD","4535"
"10386P_16237_33785_33793_54715","30.78","SPR_SINGLE_PD","4535"
"10386P_16237_33785_33793_54723","30.78","SPR_SINGLE_PD","4535"
"10387Q_16237_33785_33793_33795","30.78","SPR_SINGLE_PD","4535"
"10387Q_16237_33785_33793_54715","30.78","SPR_SINGLE_PD","4535"
"10387Q_16237_33785_33793_54723","30.78","SPR_SINGLE_PD","4535"
"10406Q_16236_33785_33790_33792","30.78","SPR_SINGLE_PD","4535"
"10406Q_16236_33785_33790_54713","30.78","SPR_SINGLE_PD","4535"
"10406Q_16236_33785_33790_54721","30.78","SPR_SINGLE_PD","4535"
"10417G_16236_33785_33790_33792","30.78","SPR_SINGLE_PD","4535"
"10417G_16236_33785_33790_54713","30.78","SPR_SINGLE_PD","4535"
"10417G_16236_33785_33790_54721","30.78","SPR_SINGLE_PD","4535"
"10760H_17375_35632_35640_51187","52.86","SPR_SINGLE_PD","4535"
"10760H_17375_35632_35640_56680","52.86","SPR_SINGLE_PD","4535"
"10760H_17375_35632_35640_56681","52.86","SPR_SINGLE_PD","4535"
"10760H_17375_35632_35640_66580","52.86","SPR_SINGLE_PD","4535"
"10760H_17375_35632_35640_67060","52.86","SPR_SINGLE_PD","4535"
"10760H_17376_35632_35635_51188","52.87","SPR_SINGLE_PD","4535"
"10760H_17376_35632_35635_56678","52.87","SPR_SINGLE_PD","4535"
"10760H_17376_35632_35635_56679","52.87","SPR_SINGLE_PD","4535"
"10760H_17376_35632_35635_66581","52.87","SPR_SINGLE_PD","4535"
"10760H_17376_35632_35635_67061","52.87","SPR_SINGLE_PD","4535"
"10763L_17375_35632_35640_51187","52.86","SPR_SINGLE_PD","4535"
"10763L_17375_35632_35640_56680","52.86","SPR_SINGLE_PD","4535"
"10763L_17375_35632_35640_56681","52.86","SPR_SINGLE_PD","4535"
"10763L_17375_35632_35640_66580","52.86","SPR_SINGLE_PD","4535"
"10763L_17375_35632_35640_67060","52.86","SPR_SINGLE_PD","4535"
"10763L_17376_35632_35635_51188","52.87","SPR_SINGLE_PD","4535"
"10763L_17376_35632_35635_56678","52.87","SPR_SINGLE_PD","4535"
"10763L_17376_35632_35635_56679","52.87","SPR_SINGLE_PD","4535"
"10763L_17376_35632_35635_66581","52.87","SPR_SINGLE_PD","4535"
"10763L_17376_35632_35635_67061","52.87","SPR_SINGLE_PD","4535"
