res_code,pbs_code,benefit_type_code,restriction_indicator,res_position,schedule_code
"7606_N","10001J","A","N","null","4535"
"7607_N","10001J","A","N","null","4535"
"17266_4306_R","10001J","A","Y","1","4535"
"6013_6013_R","10003L","S","Y","1","4535"
"12299_4862_R","10004M","A","Y","1","4535"
"4311_4311_R","10005N","R","Y","1","4535"
"7785_4395_R","10007Q","S","Y","1","4535"
"7785_4395_R","10008R","S","Y","1","4535"
"12325_7471_R","10009T","S","Y","1","4535"
"12330_7471_R","10010W","S","Y","1","4535"
"32002_N","10011X","S","N","null","4535"
"16157_16220_R","10011X","S","Y","1","4535"
"16203_15311_R","10011X","S","Y","2","4535"
"16661_4979_R","10012Y","S","Y","1","4535"
"16403_16404_R","10014C","A","Y","1","4535"
"7783_4397_R","10015D","S","Y","1","4535"
"8541_N","10017F","U","N","null","4535"
"7856_4404_R","10018G","S","Y","1","4535"
"10086_10121_R","10018G","S","Y","2","4535"
"4600_4600_R","10019H","S","Y","1","4535"
"16403_16404_R","10020J","A","Y","1","4535"
"8541_N","10021K","U","N","null","4535"
"16403_16404_R","10022L","A","Y","1","4535"
"8541_N","10023M","U","N","null","4535"
"4600_4600_R","10025P","S","Y","1","4535"
"4600_4600_R","10028T","S","Y","1","4535"
"8541_N","10029W","U","N","null","4535"
"16016_5965_R","1002R","R","Y","1","4535"
"32001_N","10032B","S","N","null","4535"
"32002_N","10032B","S","N","null","4535"
"16496_15276_R","10032B","S","Y","1","4535"
"32001_N","10033C","S","N","null","4535"
"32002_N","10033C","S","N","null","4535"
"16496_15276_R","10033C","S","Y","1","4535"
"16524_16524_R","10034D","R","Y","1","4535"
"32001_N","10035E","S","N","null","4535"
"32002_N","10035E","S","N","null","4535"
"16496_15276_R","10035E","S","Y","1","4535"
"6141_6141_R","10036F","R","Y","1","4535"
"32001_N","10038H","S","N","null","4535"
"32002_N","10038H","S","N","null","4535"
"16496_15276_R","10038H","S","Y","1","4535"
"4438_4438_R","10039J","R","Y","1","4535"
"5936_5936_R","1003T","S","Y","1","4535"
"7606_N","10041L","S","N","null","4535"
"7607_N","10041L","S","N","null","4535"
"7608_N","10041L","S","N","null","4535"
"9211_9247_R","10041L","S","Y","1","4535"
"7606_N","10042M","S","N","null","4535"
"7607_N","10042M","S","N","null","4535"
"7608_N","10042M","S","N","null","4535"
"9211_9247_R","10042M","S","Y","1","4535"
"7460_7458_R","10043N","S","Y","1","4535"
"32001_N","10044P","S","N","null","4535"
"32002_N","10044P","S","N","null","4535"
"16496_15276_R","10044P","S","Y","1","4535"
"32001_N","10045Q","S","N","null","4535"
"32002_N","10045Q","S","N","null","4535"
"16496_15276_R","10045Q","S","Y","1","4535"
"7460_7458_R","10047T","S","Y","1","4535"
"32001_N","10048W","S","N","null","4535"
"32002_N","10048W","S","N","null","4535"
"16496_15276_R","10048W","S","Y","1","4535"
"16559_16559_R","1004W","R","Y","1","4535"
"32001_N","10051B","S","N","null","4535"
"32002_N","10051B","S","N","null","4535"
"16496_15276_R","10051B","S","Y","1","4535"
"7462_7459_R","10052C","S","Y","1","4535"
"14807_N","10053D","U","N","null","4535"
"7462_7459_R","10054E","S","Y","1","4535"
"32001_N","10055F","S","N","null","4535"
"32002_N","10055F","S","N","null","4535"
"16496_15276_R","10055F","S","Y","1","4535"
"28500_N","10056G","A","N","null","4535"
"33077_N","10056G","A","N","null","4535"
"14092_14162_R","10056G","A","Y","1","4535"
"14116_14145_R","10056G","A","Y","2","4535"
"14079_14083_R","10056G","A","Y","3","4535"
"14115_9417_R","10056G","A","Y","4","4535"
"23973_N","10057H","S","N","null","4535"
"7607_N","10057H","S","N","null","4535"
"9586_9632_R","10057H","S","Y","1","4535"
"27706_N","10058J","A","N","null","4535"
"12108_12163_R","10058J","A","Y","1","4535"
"9492_9494_R","10058J","A","Y","2","4535"
"9529_9407_R","10058J","A","Y","3","4535"
"9389_9386_R","10058J","A","Y","4","4535"
"9493_9495_R","10058J","A","Y","5","4535"
"9379_9380_R","10058J","A","Y","6","4535"
"7804_4516_R","10059K","R","Y","1","4535"
"28500_N","10060L","A","N","null","4535"
"33077_N","10060L","A","N","null","4535"
"14092_14162_R","10060L","A","Y","1","4535"
"14116_14145_R","10060L","A","Y","2","4535"
"14079_14083_R","10060L","A","Y","3","4535"
"14115_9417_R","10060L","A","Y","4","4535"
"10333_N","10061M","S","N","null","4535"
"29791_N","10061M","S","N","null","4535"
"33164_N","10061M","S","N","null","4535"
"16686_16514_R","10061M","S","Y","1","4535"
"4897_4897_R","10062N","R","Y","1","4535"
"28500_N","10064Q","A","N","null","4535"
"33077_N","10064Q","A","N","null","4535"
"14092_14162_R","10064Q","A","Y","1","4535"
"14116_14145_R","10064Q","A","Y","2","4535"
"14079_14083_R","10064Q","A","Y","3","4535"
"14115_9417_R","10064Q","A","Y","4","4535"
"7606_N","10066T","S","N","null","4535"
"7607_N","10066T","S","N","null","4535"
"17375_17397_R","10066T","S","Y","1","4535"
"23973_N","10067W","S","N","null","4535"
"4524_4524_R","10067W","S","Y","1","4535"
"28500_N","10068X","A","N","null","4535"
"33077_N","10068X","A","N","null","4535"
"14092_14162_R","10068X","A","Y","1","4535"
"14116_14145_R","10068X","A","Y","2","4535"
"14079_14083_R","10068X","A","Y","3","4535"
"14115_9417_R","10068X","A","Y","4","4535"
"12070_12066_R","10069Y","S","Y","1","4535"
"12034_12035_R","10069Y","S","Y","2","4535"
"27706_N","10071C","A","N","null","4535"
"12108_12163_R","10071C","A","Y","1","4535"
"9492_9494_R","10071C","A","Y","2","4535"
"9529_9407_R","10071C","A","Y","3","4535"
"9389_9386_R","10071C","A","Y","4","4535"
"9493_9495_R","10071C","A","Y","5","4535"
"9379_9380_R","10071C","A","Y","6","4535"
"27706_N","10072D","A","N","null","4535"
"12108_12163_R","10072D","A","Y","1","4535"
"9492_9494_R","10072D","A","Y","2","4535"
"9529_9407_R","10072D","A","Y","3","4535"
"9389_9386_R","10072D","A","Y","4","4535"
"9493_9495_R","10072D","A","Y","5","4535"
"9379_9380_R","10072D","A","Y","6","4535"
"27706_N","10073E","A","N","null","4535"
"12108_12163_R","10073E","A","Y","1","4535"
"9492_9494_R","10073E","A","Y","2","4535"
"9529_9407_R","10073E","A","Y","3","4535"
"9389_9386_R","10073E","A","Y","4","4535"
"9493_9495_R","10073E","A","Y","5","4535"
"9379_9380_R","10073E","A","Y","6","4535"
"7606_N","10074F","S","N","null","4535"
"7607_N","10074F","S","N","null","4535"
"17404_17405_R","10074F","S","Y","1","4535"
"7606_N","10076H","R","N","null","4535"
"7607_N","10076H","R","N","null","4535"
"14033_14040_R","10076H","R","Y","1","4535"
"28500_N","10077J","A","N","null","4535"
"33077_N","10077J","A","N","null","4535"
"14092_14162_R","10077J","A","Y","1","4535"
"14116_14145_R","10077J","A","Y","2","4535"
"14079_14083_R","10077J","A","Y","3","4535"
"14115_9417_R","10077J","A","Y","4","4535"
"27706_N","10078K","A","N","null","4535"
"12108_12163_R","10078K","A","Y","1","4535"
"9492_9494_R","10078K","A","Y","2","4535"
"9529_9407_R","10078K","A","Y","3","4535"
"9389_9386_R","10078K","A","Y","4","4535"
"9493_9495_R","10078K","A","Y","5","4535"
"9379_9380_R","10078K","A","Y","6","4535"
"28500_N","10079L","A","N","null","4535"
"33077_N","10079L","A","N","null","4535"
"14092_14162_R","10079L","A","Y","1","4535"
"14116_14145_R","10079L","A","Y","2","4535"
"14079_14083_R","10079L","A","Y","3","4535"
"14115_9417_R","10079L","A","Y","4","4535"
"13203_N","1007B","S","N","null","4535"
"16266_5942_R","1007B","S","Y","1","4535"
"17314_17270_R","10080M","S","Y","1","4535"
"27706_N","10081N","A","N","null","4535"
"12108_12163_R","10081N","A","Y","1","4535"
"9492_9494_R","10081N","A","Y","2","4535"
"9529_9407_R","10081N","A","Y","3","4535"
"9389_9386_R","10081N","A","Y","4","4535"
"9493_9495_R","10081N","A","Y","5","4535"
"9379_9380_R","10081N","A","Y","6","4535"
"12070_12066_R","10082P","S","Y","1","4535"
"12034_12035_R","10082P","S","Y","2","4535"
"4549_4549_R","10083Q","S","Y","1","4535"
"9329_9329_R","10084R","S","Y","1","4535"
"25796_N","10086W","A","N","null","4535"
"10080_10076_R","10086W","A","Y","1","4535"
"25796_N","10087X","A","N","null","4535"
"10381_10390_R","10087X","A","Y","1","4535"
"32001_N","10089B","S","N","null","4535"
"32002_N","10089B","S","N","null","4535"
"16496_15276_R","10089B","S","Y","1","4535"
"32001_N","10090C","S","N","null","4535"
"32002_N","10090C","S","N","null","4535"
"16496_15276_R","10090C","S","Y","1","4535"
"25574_N","10091D","S","N","null","4535"
"25651_N","10091D","S","N","null","4535"
"8211_C","10091D","S","N","null","4535"
"10749_10755_R","10091D","S","Y","1","4535"
"10750_10748_R","10091D","S","Y","2","4535"
"10752_10752_R","10091D","S","Y","3","4535"
"25574_N","10092E","S","N","null","4535"
"25651_N","10092E","S","N","null","4535"
"8211_C","10092E","S","N","null","4535"
"10749_10755_R","10092E","S","Y","1","4535"
"10750_10748_R","10092E","S","Y","2","4535"
"10752_10752_R","10092E","S","Y","3","4535"
"4555_4555_R","10093F","R","Y","1","4535"
"25574_N","10094G","S","N","null","4535"
"25651_N","10094G","S","N","null","4535"
"8211_C","10094G","S","N","null","4535"
"10749_10755_R","10094G","S","Y","1","4535"
"10750_10748_R","10094G","S","Y","2","4535"
"10752_10752_R","10094G","S","Y","3","4535"
"10504_10499_R","10095H","A","Y","1","4535"
"25574_N","10096J","S","N","null","4535"
"25651_N","10096J","S","N","null","4535"
"8211_C","10096J","S","N","null","4535"
"10749_10755_R","10096J","S","Y","1","4535"
"10750_10748_R","10096J","S","Y","2","4535"
"10752_10752_R","10096J","S","Y","3","4535"
"5669_5669_R","10097K","A","Y","1","4535"
"5669_5669_R","10098L","A","Y","1","4535"
"25574_N","10100N","S","N","null","4535"
"25651_N","10100N","S","N","null","4535"
"8211_C","10100N","S","N","null","4535"
"10749_10755_R","10100N","S","Y","1","4535"
"10750_10748_R","10100N","S","Y","2","4535"
"10752_10752_R","10100N","S","Y","3","4535"
"10504_10499_R","10102Q","A","Y","1","4535"
"4796_4796_R","10103R","R","Y","1","4535"
"7608_N","10104T","U","N","null","4535"
"5669_5669_R","10105W","A","Y","1","4535"
"4554_4554_R","10106X","A","Y","1","4535"
"4343_4343_R","10107Y","R","Y","1","4535"
"5038_5038_R","10108B","R","Y","1","4535"
"19891_N","10109C","A","N","null","4535"
"28584_N","10109C","A","N","null","4535"
"29791_N","10109C","A","N","null","4535"
"32169_N","10109C","A","N","null","4535"
"33164_N","10109C","A","N","null","4535"
"33847_N","10109C","A","N","null","4535"
"15845_15846_R","10109C","A","Y","1","4535"
"15883_15870_R","10109C","A","Y","2","4535"
"19891_N","10110D","A","N","null","4535"
"28584_N","10110D","A","N","null","4535"
"29791_N","10110D","A","N","null","4535"
"32169_N","10110D","A","N","null","4535"
"33164_N","10110D","A","N","null","4535"
"33846_N","10110D","A","N","null","4535"
"15845_15846_R","10110D","A","Y","1","4535"
"15883_15870_R","10110D","A","Y","2","4535"
"7607_N","10111E","A","N","null","4535"
"13633_13512_R","10111E","A","Y","1","4535"
"13493_13491_R","10111E","A","Y","2","4535"
"13513_13577_R","10111E","A","Y","3","4535"
"13508_13510_R","10111E","A","Y","4","4535"
"13507_13634_R","10111E","A","Y","5","4535"
"13509_13505_R","10111E","A","Y","6","4535"
"13511_13506_R","10111E","A","Y","7","4535"
"7607_N","10116K","S","N","null","4535"
"4997_4997_R","10116K","S","Y","1","4535"
"7607_N","10117L","A","N","null","4535"
"13633_13512_R","10117L","A","Y","1","4535"
"13493_13491_R","10117L","A","Y","2","4535"
"13513_13577_R","10117L","A","Y","3","4535"
"13508_13510_R","10117L","A","Y","4","4535"
"13507_13634_R","10117L","A","Y","5","4535"
"13509_13505_R","10117L","A","Y","6","4535"
"13511_13506_R","10117L","A","Y","7","4535"
"19891_N","10118M","A","N","null","4535"
"28584_N","10118M","A","N","null","4535"
"29791_N","10118M","A","N","null","4535"
"32169_N","10118M","A","N","null","4535"
"33164_N","10118M","A","N","null","4535"
"33846_N","10118M","A","N","null","4535"
"15845_15846_R","10118M","A","Y","1","4535"
"15883_15870_R","10118M","A","Y","2","4535"
"11272_4599_R","10119N","A","Y","1","4535"
"19891_N","10122R","A","N","null","4535"
"28584_N","10122R","A","N","null","4535"
"29791_N","10122R","A","N","null","4535"
"32169_N","10122R","A","N","null","4535"
"33164_N","10122R","A","N","null","4535"
"33847_N","10122R","A","N","null","4535"
"15845_15846_R","10122R","A","Y","1","4535"
"15883_15870_R","10122R","A","Y","2","4535"
"7804_4516_R","10124W","R","Y","1","4535"
"32001_N","10128C","S","N","null","4535"
"32002_N","10128C","S","N","null","4535"
"16495_15261_R","10128C","S","Y","1","4535"
"7607_N","10129D","A","N","null","4535"
"13633_13512_R","10129D","A","Y","1","4535"
"13493_13491_R","10129D","A","Y","2","4535"
"13513_13577_R","10129D","A","Y","3","4535"
"13508_13510_R","10129D","A","Y","4","4535"
"13507_13634_R","10129D","A","Y","5","4535"
"13509_13505_R","10129D","A","Y","6","4535"
"13511_13506_R","10129D","A","Y","7","4535"
"7607_N","10130E","A","N","null","4535"
"13633_13512_R","10130E","A","Y","1","4535"
"13493_13491_R","10130E","A","Y","2","4535"
"13513_13577_R","10130E","A","Y","3","4535"
"13508_13510_R","10130E","A","Y","4","4535"
"13507_13634_R","10130E","A","Y","5","4535"
"13509_13505_R","10130E","A","Y","6","4535"
"13511_13506_R","10130E","A","Y","7","4535"
"7635_4837_R","10131F","A","Y","1","4535"
"7606_N","10132G","A","N","null","4535"
"7607_N","10132G","A","N","null","4535"
"8582_8622_R","10132G","A","Y","1","4535"
"7606_N","10133H","A","N","null","4535"
"7607_N","10133H","A","N","null","4535"
"8582_8622_R","10133H","A","Y","1","4535"
"11011_C","10134J","A","N","null","4535"
"7606_N","10134J","A","N","null","4535"
"7607_N","10134J","A","N","null","4535"
"13488_13500_R","10134J","A","Y","1","4535"
"13489_13576_R","10134J","A","Y","2","4535"
"13490_13575_R","10134J","A","Y","3","4535"
"7635_4837_R","10135K","A","Y","1","4535"
"11011_C","10136L","A","N","null","4535"
"7606_N","10136L","A","N","null","4535"
"7607_N","10136L","A","N","null","4535"
"13488_13500_R","10136L","A","Y","1","4535"
"13489_13576_R","10136L","A","Y","2","4535"
"13490_13575_R","10136L","A","Y","3","4535"
"32678_N","10137M","A","N","null","4535"
"7606_N","10137M","A","N","null","4535"
"7607_N","10137M","A","N","null","4535"
"14695_14692_R","10137M","A","Y","1","4535"
"14206_9431_R","10137M","A","Y","2","4535"
"12375_N","10138N","A","N","null","4535"
"26357_N","10138N","A","N","null","4535"
"29786_N","10138N","A","N","null","4535"
"7607_N","10138N","A","N","null","4535"
"7608_N","10138N","A","N","null","4535"
"13415_13422_R","10138N","A","Y","1","4535"
"8241_4649_R","10140Q","S","Y","1","4535"
"8241_4649_R","10144X","S","Y","1","4535"
"20612_N","10148D","U","N","null","4535"
"21265_N","10148D","U","N","null","4535"
"6159_6159_R","10149E","R","Y","1","4535"
"4657_4657_R","10150F","S","Y","1","4535"
"16523_4658_R","10151G","S","Y","1","4535"
