assessment_type,parameter_prescribing_txt_id,parameter_type,schedule_code
"IMMEDIATE","7600","CLINICAL_PATIENT","4535"
"IMMEDIATE","7602","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7612","CLINICAL_PATIENT","4535"
"IMMEDIATE","7646","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7700","CLINICAL_CONDITION","4535"
"IMMEDIATE","7704","CLINICAL_CONDITION","4535"
"IMMEDIATE","7713","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","7714","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","7716","CLINICAL_PATIENT","4535"
"IMMEDIATE","7718","CLINICAL_PATIENT","4535"
"IMMEDIATE","7720","CLINICAL_PATIENT","4535"
"IMMEDIATE","7722","CLINICAL_PATIENT","4535"
"IMMEDIATE","7726","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7735","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","7737","CLINICAL_PATIENT","4535"
"IMMEDIATE","7744","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7746","CLINICAL_PATIENT","4535"
"IMMEDIATE","7772","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7778","CLINICAL_CONDITION","4535"
"IMMEDIATE","7780","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","7791","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7843","CLINICAL_CONDITION","4535"
"IMMEDIATE","7847","CLINICAL_CONDITION","4535"
"IMMEDIATE","7852","CLINICAL_CONDITION","4535"
"IMMEDIATE","7854","CLINICAL_PATIENT","4535"
"IMMEDIATE","7858","CLINICAL_CONDITION","4535"
"IMMEDIATE","7862","TREATMENT_CARE_TYPE","4535"
"IMMEDIATE","7874","CLINICAL_PATIENT","4535"
"IMMEDIATE","7879","CLINICAL_CONDITION","4535"
"IMMEDIATE","7881","CLINICAL_CONDITION","4535"
"IMMEDIATE","7889","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7896","CLINICAL_PATIENT","4535"
"IMMEDIATE","7898","CLINICAL_PATIENT","4535"
"IMMEDIATE","7903","CLINICAL_PATIENT","4535"
"IMMEDIATE","7907","CLINICAL_CONDITION","4535"
"IMMEDIATE","7909","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7911","CLINICAL_TREATMENT","4535"
"IMMEDIATE","7913","CLINICAL_PATIENT","4535"
"IMMEDIATE","7915","CLINICAL_PATIENT","4535"
"IMMEDIATE","7933","CLINICAL_PATIENT","4535"
"IMMEDIATE","7969","CLINICAL_PATIENT","4535"
"IMMEDIATE","7985","CLINICAL_PATIENT","4535"
"IMMEDIATE","7988","CLINICAL_PATIENT","4535"
"IMMEDIATE","7995","CLINICAL_PATIENT","4535"
"IMMEDIATE","8001","CLINICAL_PATIENT","4535"
"IMMEDIATE","8005","POPULATION_AGE","4535"
"IMMEDIATE","8007","CLINICAL_PATIENT","4535"
"IMMEDIATE","8012","CLINICAL_PATIENT","4535"
"IMMEDIATE","8017","CLINICAL_PATIENT","4535"
"IMMEDIATE","8023","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8051","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","8055","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8056","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8058","CLINICAL_PATIENT","4535"
"IMMEDIATE","8065","CLINICAL_PATIENT","4535"
"IMMEDIATE","8070","POPULATION_SEX","4535"
"IMMEDIATE","8076","CLINICAL_PATIENT","4535"
"IMMEDIATE","8091","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8101","CLINICAL_PATIENT","4535"
"IMMEDIATE","8103","CLINICAL_PATIENT","4535"
"IMMEDIATE","8115","POPULATION_AGE","4535"
"IMMEDIATE","8117","CLINICAL_PATIENT","4535"
"IMMEDIATE","8122","CLINICAL_PATIENT","4535"
"IMMEDIATE","8128","CLINICAL_PATIENT","4535"
"IMMEDIATE","8142","CLINICAL_PATIENT","4535"
"IMMEDIATE","8147","CLINICAL_PATIENT","4535"
"IMMEDIATE","8149","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8172","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8215","CLINICAL_CONDITION","4535"
"IMMEDIATE","8219","CLINICAL_PATIENT","4535"
"IMMEDIATE","8223","CLINICAL_PATIENT","4535"
"IMMEDIATE","8225","CLINICAL_CONDITION","4535"
"IMMEDIATE","8228","CLINICAL_PATIENT","4535"
"IMMEDIATE","8232","CLINICAL_CONDITION","4535"
"IMMEDIATE","8272","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","8276","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8315","TREATMENT_LOCATION","4535"
"IMMEDIATE","8318","CLINICAL_PATIENT","4535"
"IMMEDIATE","8324","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8336","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8383","POPULATION_AGE","4535"
"IMMEDIATE","8391","CLINICAL_PATIENT","4535"
"IMMEDIATE","8408","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8430","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8483","CLINICAL_PATIENT","4535"
"IMMEDIATE","8485","CLINICAL_CONDITION","4535"
"IMMEDIATE","8490","CLINICAL_PATIENT","4535"
"IMMEDIATE","8494","CLINICAL_PATIENT","4535"
"IMMEDIATE","8496","CLINICAL_PATIENT","4535"
"IMMEDIATE","8501","CLINICAL_CONDITION","4535"
"IMMEDIATE","8503","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8505","CLINICAL_PATIENT","4535"
"IMMEDIATE","8508","CLINICAL_CONDITION","4535"
"IMMEDIATE","8510","CLINICAL_PATIENT","4535"
"IMMEDIATE","8513","CLINICAL_CONDITION","4535"
"IMMEDIATE","8515","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8517","CLINICAL_PATIENT","4535"
"IMMEDIATE","8523","CLINICAL_PATIENT","4535"
"IMMEDIATE","8529","CLINICAL_PATIENT","4535"
"IMMEDIATE","8533","CLINICAL_PATIENT","4535"
"IMMEDIATE","8537","CLINICAL_PATIENT","4535"
"IMMEDIATE","8538","CLINICAL_PATIENT","4535"
"IMMEDIATE","8583","CLINICAL_PATIENT","4535"
"IMMEDIATE","8593","CLINICAL_CONDITION","4535"
"IMMEDIATE","8595","CLINICAL_CONDITION","4535"
"IMMEDIATE","8597","CLINICAL_PATIENT","4535"
"IMMEDIATE","8599","CLINICAL_CONDITION","4535"
"IMMEDIATE","8601","CLINICAL_CONDITION","4535"
"IMMEDIATE","8602","CLINICAL_CONDITION","4535"
"IMMEDIATE","8604","CLINICAL_PATIENT","4535"
"IMMEDIATE","8620","POPULATION_OTHER","4535"
"IMMEDIATE","8624","CLINICAL_PATIENT","4535"
"IMMEDIATE","8656","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","8658","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8660","CLINICAL_CONDITION","4535"
"IMMEDIATE","8662","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8664","POPULATION_AGE","4535"
"IMMEDIATE","8677","CLINICAL_PATIENT","4535"
"IMMEDIATE","8679","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8684","CLINICAL_PATIENT","4535"
"IMMEDIATE","8720","CLINICAL_PATIENT","4535"
"IMMEDIATE","8725","CLINICAL_PATIENT","4535"
"IMMEDIATE","8731","CLINICAL_PATIENT","4535"
"IMMEDIATE","8732","CLINICAL_PATIENT","4535"
"IMMEDIATE","8733","CLINICAL_PATIENT","4535"
"IMMEDIATE","8737","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8745","CLINICAL_PATIENT","4535"
"IMMEDIATE","8750","CLINICAL_PATIENT","4535"
"IMMEDIATE","8761","CLINICAL_PATIENT","4535"
"IMMEDIATE","8766","CLINICAL_PATIENT","4535"
"IMMEDIATE","8769","CLINICAL_PATIENT","4535"
"IMMEDIATE","8773","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8775","CLINICAL_PATIENT","4535"
"IMMEDIATE","8779","CLINICAL_TREATMENT","4535"
"IMMEDIATE","8788","CLINICAL_PATIENT","4535"
"IMMEDIATE","8795","CLINICAL_CONDITION","4535"
"IMMEDIATE","9008","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9018","CLINICAL_PATIENT","4535"
"IMMEDIATE","9056","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9058","CLINICAL_PATIENT","4535"
"IMMEDIATE","9060","CLINICAL_PATIENT","4535"
"IMMEDIATE","9062","CLINICAL_PATIENT","4535"
"IMMEDIATE","9069","CLINICAL_PATIENT","4535"
"IMMEDIATE","9083","POPULATION_AGE","4535"
"IMMEDIATE","9088","CLINICAL_CONDITION","4535"
"IMMEDIATE","9092","POPULATION_AGE","4535"
"IMMEDIATE","9099","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9103","CLINICAL_PATIENT","4535"
"IMMEDIATE","9120","CLINICAL_CONDITION","4535"
"IMMEDIATE","9122","CLINICAL_CONDITION","4535"
"IMMEDIATE","9126","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9128","CLINICAL_PATIENT","4535"
"IMMEDIATE","9135","CLINICAL_PATIENT","4535"
"IMMEDIATE","9142","POPULATION_AGE","4535"
"IMMEDIATE","9149","POPULATION_AGE","4535"
"IMMEDIATE","9163","CLINICAL_PATIENT","4535"
"IMMEDIATE","9164","CLINICAL_PATIENT","4535"
"IMMEDIATE","9165","CLINICAL_PATIENT","4535"
"IMMEDIATE","9166","CLINICAL_PATIENT","4535"
"IMMEDIATE","9168","POPULATION_AGE","4535"
"IMMEDIATE","9172","CLINICAL_PATIENT","4535"
"IMMEDIATE","9185","CLINICAL_PATIENT","4535"
"IMMEDIATE","9187","POPULATION_AGE","4535"
"IMMEDIATE","9205","TREATMENT_CARE_TYPE","4535"
"IMMEDIATE","9226","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9244","CLINICAL_CONDITION","4535"
"IMMEDIATE","9248","CLINICAL_PATIENT","4535"
"IMMEDIATE","9255","CLINICAL_PATIENT","4535"
"IMMEDIATE","9260","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9262","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9264","CLINICAL_PATIENT","4535"
"IMMEDIATE","9270","POPULATION_AGE","4535"
"IMMEDIATE","9272","CLINICAL_PATIENT","4535"
"IMMEDIATE","9274","CLINICAL_PATIENT","4535"
"IMMEDIATE","9279","CLINICAL_PATIENT","4535"
"IMMEDIATE","9280","CLINICAL_PATIENT","4535"
"IMMEDIATE","9335","CLINICAL_CONDITION","4535"
"IMMEDIATE","9337","CLINICAL_PATIENT","4535"
"IMMEDIATE","9342","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9344","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9346","CLINICAL_PATIENT","4535"
"IMMEDIATE","9348","CLINICAL_PATIENT","4535"
"IMMEDIATE","9374","CLINICAL_CONDITION","4535"
"IMMEDIATE","9375","CLINICAL_CONDITION","4535"
"IMMEDIATE","9377","CLINICAL_PATIENT","4535"
"IMMEDIATE","9382","CLINICAL_PATIENT","4535"
"IMMEDIATE","9391","CLINICAL_PATIENT","4535"
"IMMEDIATE","9398","CLINICAL_PATIENT","4535"
"IMMEDIATE","9404","CLINICAL_PATIENT","4535"
"IMMEDIATE","9414","CLINICAL_CONDITION","4535"
"IMMEDIATE","9419","POPULATION_AGE","4535"
"IMMEDIATE","9430","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9432","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9436","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9438","CLINICAL_PATIENT","4535"
"IMMEDIATE","9441","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9444","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9447","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9450","CLINICAL_PATIENT","4535"
"IMMEDIATE","9453","CLINICAL_PATIENT","4535"
"IMMEDIATE","9456","CLINICAL_PATIENT","4535"
"IMMEDIATE","9458","CLINICAL_PATIENT","4535"
"IMMEDIATE","9460","CLINICAL_PATIENT","4535"
"IMMEDIATE","9462","CLINICAL_PATIENT","4535"
"IMMEDIATE","9464","CLINICAL_PATIENT","4535"
"IMMEDIATE","9480","CLINICAL_CONDITION","4535"
"IMMEDIATE","9505","CLINICAL_CONDITION","4535"
"IMMEDIATE","9506","CLINICAL_CONDITION","4535"
"IMMEDIATE","9511","CLINICAL_PATIENT","4535"
"IMMEDIATE","9514","CLINICAL_PATIENT","4535"
"IMMEDIATE","9536","CLINICAL_CONDITION","4535"
"IMMEDIATE","9538","CLINICAL_PATIENT","4535"
"IMMEDIATE","9543","CLINICAL_PATIENT","4535"
"IMMEDIATE","9545","POPULATION_AGE","4535"
"IMMEDIATE","9585","TREATMENT_CARE_TYPE","4535"
"IMMEDIATE","9590","TREATMENT_CARE_TYPE","4535"
"IMMEDIATE","9592","CLINICAL_PATIENT","4535"
"IMMEDIATE","9595","CLINICAL_PATIENT","4535"
"IMMEDIATE","9598","CLINICAL_PATIENT","4535"
"IMMEDIATE","9601","CLINICAL_PATIENT","4535"
"IMMEDIATE","9627","CLINICAL_PATIENT","4535"
"IMMEDIATE","9629","CLINICAL_CONDITION","4535"
"IMMEDIATE","9652","CLINICAL_PATIENT","4535"
"IMMEDIATE","9655","CLINICAL_PATIENT","4535"
"IMMEDIATE","9661","CLINICAL_PATIENT","4535"
"IMMEDIATE","9664","CLINICAL_PATIENT","4535"
"IMMEDIATE","9672","CLINICAL_PATIENT","4535"
"IMMEDIATE","9679","CLINICAL_PATIENT","4535"
"IMMEDIATE","9680","CLINICAL_PATIENT","4535"
"IMMEDIATE","9690","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9694","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9702","CLINICAL_CONDITION","4535"
"IMMEDIATE","9703","CLINICAL_CONDITION","4535"
"IMMEDIATE","9707","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9709","CLINICAL_CONDITION","4535"
"IMMEDIATE","9725","CLINICAL_PATIENT","4535"
"IMMEDIATE","9726","CLINICAL_PATIENT","4535"
"IMMEDIATE","9734","CLINICAL_CONDITION","4535"
"IMMEDIATE","9739","CLINICAL_CONDITION","4535"
"IMMEDIATE","9765","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9767","CLINICAL_PATIENT","4535"
"IMMEDIATE","9769","POPULATION_AGE","4535"
"IMMEDIATE","9775","CLINICAL_PATIENT","4535"
"IMMEDIATE","9779","CLINICAL_CONDITION","4535"
"IMMEDIATE","9786","CLINICAL_CONDITION","4535"
"IMMEDIATE","9791","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9793","CLINICAL_PATIENT","4535"
"IMMEDIATE","9799","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","9813","POPULATION_AGE","4535"
"IMMEDIATE","9824","CLINICAL_CONDITION","4535"
"IMMEDIATE","9829","CLINICAL_CONDITION","4535"
"IMMEDIATE","9831","CLINICAL_PATIENT","4535"
"IMMEDIATE","9832","CLINICAL_PATIENT","4535"
"IMMEDIATE","9835","POPULATION_OTHER","4535"
"IMMEDIATE","9845","POPULATION_OTHER","4535"
"IMMEDIATE","9846","POPULATION_OTHER","4535"
"IMMEDIATE","9906","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9910","POPULATION_AGE","4535"
"IMMEDIATE","9916","CLINICAL_PATIENT","4535"
"IMMEDIATE","9928","CLINICAL_CONDITION","4535"
"IMMEDIATE","9947","CLINICAL_CONDITION","4535"
"IMMEDIATE","9970","CLINICAL_PATIENT","4535"
"IMMEDIATE","9979","CLINICAL_TREATMENT","4535"
"IMMEDIATE","9981","CLINICAL_PATIENT","4535"
"IMMEDIATE","9982","CLINICAL_PATIENT","4535"
"IMMEDIATE","9984","CLINICAL_PATIENT","4535"
"IMMEDIATE","9986","CLINICAL_PATIENT","4535"
"IMMEDIATE","9999","POPULATION_AGE","4535"
"IMMEDIATE","10007","CLINICAL_CONDITION","4535"
"IMMEDIATE","10052","CLINICAL_CONDITION","4535"
"IMMEDIATE","10055","CLINICAL_PATIENT","4535"
"IMMEDIATE","10062","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","10064","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","10066","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","10069","CLINICAL_PATIENT","4535"
"IMMEDIATE","10075","CLINICAL_PATIENT","4535"
"IMMEDIATE","10081","CLINICAL_PATIENT","4535"
"IMMEDIATE","10087","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","10088","TREATMENT_CARE_TYPE","4535"
"IMMEDIATE","10111","TREATMENT_PRESCRIBER","4535"
"IMMEDIATE","10196","CLINICAL_PATIENT","4535"
"IMMEDIATE","10197","CLINICAL_PATIENT","4535"
"IMMEDIATE","10198","CLINICAL_PATIENT","4535"
"IMMEDIATE","10199","CLINICAL_PATIENT","4535"
"IMMEDIATE","10212","CLINICAL_PATIENT","4535"
"IMMEDIATE","10216","CLINICAL_PATIENT","4535"
"IMMEDIATE","10218","CLINICAL_PATIENT","4535"
"IMMEDIATE","10234","TREATMENT_CARE_TYPE","4535"
