pbs_code,prescriber_code,prescriber_type,schedule_code
"10001J","M","Medical Practitioners","4535"
"10001J","N","Nurse Practitioners","4535"
"10003L","M","Medical Practitioners","4535"
"10004M","M","Medical Practitioners","4535"
"10005N","M","Medical Practitioners","4535"
"10005N","N","Nurse Practitioners","4535"
"10007Q","M","Medical Practitioners","4535"
"10007Q","N","Nurse Practitioners","4535"
"10008R","M","Medical Practitioners","4535"
"10008R","N","Nurse Practitioners","4535"
"10009T","M","Medical Practitioners","4535"
"10010W","M","Medical Practitioners","4535"
"10011X","M","Medical Practitioners","4535"
"10011X","N","Nurse Practitioners","4535"
"10012Y","M","Medical Practitioners","4535"
"10012Y","N","Nurse Practitioners","4535"
"10014C","M","Medical Practitioners","4535"
"10015D","M","Medical Practitioners","4535"
"10015D","N","Nurse Practitioners","4535"
"10017F","M","Medical Practitioners","4535"
"10018G","M","Medical Practitioners","4535"
"10018G","N","Nurse Practitioners","4535"
"10019H","M","Medical Practitioners","4535"
"10020J","M","Medical Practitioners","4535"
"10021K","M","Medical Practitioners","4535"
"10022L","M","Medical Practitioners","4535"
"10023M","M","Medical Practitioners","4535"
"10025P","M","Medical Practitioners","4535"
"10028T","M","Medical Practitioners","4535"
"10029W","M","Medical Practitioners","4535"
"1002R","M","Medical Practitioners","4535"
"1002R","N","Nurse Practitioners","4535"
"10032B","M","Medical Practitioners","4535"
"10032B","N","Nurse Practitioners","4535"
"10033C","M","Medical Practitioners","4535"
"10033C","N","Nurse Practitioners","4535"
"10034D","M","Medical Practitioners","4535"
"10034D","N","Nurse Practitioners","4535"
"10035E","M","Medical Practitioners","4535"
"10035E","N","Nurse Practitioners","4535"
"10036F","M","Medical Practitioners","4535"
"10036F","N","Nurse Practitioners","4535"
"10038H","M","Medical Practitioners","4535"
"10038H","N","Nurse Practitioners","4535"
"10039J","M","Medical Practitioners","4535"
"10039J","N","Nurse Practitioners","4535"
"1003T","M","Medical Practitioners","4535"
"1003T","N","Nurse Practitioners","4535"
"10041L","M","Medical Practitioners","4535"
"10042M","M","Medical Practitioners","4535"
"10043N","M","Medical Practitioners","4535"
"10044P","M","Medical Practitioners","4535"
"10044P","N","Nurse Practitioners","4535"
"10045Q","M","Medical Practitioners","4535"
"10045Q","N","Nurse Practitioners","4535"
"10046R","M","Medical Practitioners","4535"
"10046R","N","Nurse Practitioners","4535"
"10047T","M","Medical Practitioners","4535"
"10048W","M","Medical Practitioners","4535"
"10048W","N","Nurse Practitioners","4535"
"1004W","M","Medical Practitioners","4535"
"1004W","N","Nurse Practitioners","4535"
"10051B","M","Medical Practitioners","4535"
"10051B","N","Nurse Practitioners","4535"
"10052C","M","Medical Practitioners","4535"
"10053D","O","Optometrist","4535"
"10054E","M","Medical Practitioners","4535"
"10055F","M","Medical Practitioners","4535"
"10055F","N","Nurse Practitioners","4535"
