program_code,dispensing_rule_mnem,default_indicator,schedule_code
"CA","s90-cp-s100","Y","4535"
"CA","s94-private-s100","N","4535"
"CA","s94-public-s100","N","4535"
"CT","s94-public-s100","Y","4535"
"DB","s90-cp","Y","4535"
"EP","combined","Y","4535"
"GE","s90-cp","Y","4535"
"GE","s94-private","N","4535"
"GE","s94-public","N","4535"
"GH","s90-cp-s100","N","4535"
"GH","s94-private-s100","Y","4535"
"GH","s94-public-s100","N","4535"
"HB","s94-public-s100","Y","4535"
"HS","s94-private-s100","Y","4535"
"IF","s90-cp-s100","N","4535"
"IF","s94-private-s100","Y","4535"
"IF","s94-public-s100","N","4535"
"IN","s90-cp","N","4535"
"IN","s94-private","Y","4535"
"IP","s94-public","Y","4535"
"MF","s94-private-s100","Y","4535"
"MF","s94-public-s100","N","4535"
"PL","s90-cp","Y","4535"
"PL","s94-private","N","4535"
"PL","s94-public","N","4535"
"PQ","ds-assoc","Y","4535"
"R1","s90-cp","Y","4535"
"R1","s94-private","N","4535"
"R1","s94-public","N","4535"
"TY","s90-cp-sa","N","4535"
"TY","s94-private-sa","Y","4535"
"TZ","s94-public","Y","4535"
