program_code,program_title,schedule_code
"CA","Section 100 (Highly Specialised Drugs) - Community Access","4535"
"CT","Section 100 (Efficient Funding of Chemotherapy) - Related Benefits","4535"
"DB","Prescriber Bag (Dr Bag)","4535"
"EP","Extemporaneous Preparations","4535"
"GE","General Schedule","4535"
"GH","Section 100 (Growth Hormone)","4535"
"HB","Section 100 (Highly Specialised Drugs) - Public Hospitals","4535"
"HS","Section 100 (Highly Specialised Drugs) - Private Hospitals","4535"
"IF","Section 100 (IVF Treatment)","4535"
"IN","Section 100 (Efficient Funding of Chemotherapy) - Private Hospitals","4535"
"IP","Section 100 (Efficient Funding of Chemotherapy) - Public Hospitals","4535"
"MF","Section 100 (Botulinum Toxin Program)","4535"
"PL","Palliative Care","4535"
"PQ","Section 100 (Paraplegic and Quadriplegic Program)","4535"
"R1","Repatriation Pharmaceutical Benefits (RPBS)","4535"
"TY","Section 100 (Special Authority Items) - Private Hospital","4535"
"TZ","Section 100 (Special Authority Items) - Public Hospital","4535"
