res_code,prescribing_text_id,pt_position,schedule_code
"10041_6898_R","13031","1","4535"
"10041_6898_R","20477","2","4535"
"10041_6898_R","13035","3","4535"
"10041_6898_R","13037","4","4535"
"10041_6898_R","8116","5","4535"
"10041_6898_R","13039","6","4535"
"10041_6898_R","20479","7","4535"
"10045_10033_R","8676","1","4535"
"10045_10033_R","18397","2","4535"
"10046_10021_R","13047","1","4535"
"10046_10021_R","13049","2","4535"
"10046_10021_R","18478","3","4535"
"10046_10021_R","25220","4","4535"
"10046_10021_R","13053","5","4535"
"10046_10021_R","25223","6","4535"
"10046_10021_R","25225","7","4535"
"10046_10021_R","25226","8","4535"
"10046_10021_R","25227","9","4535"
"10046_10021_R","25228","10","4535"
"10046_10021_R","25229","11","4535"
"10046_10021_R","25230","12","4535"
"10046_10021_R","25231","13","4535"
"10058_10051_R","8676","1","4535"
"10058_10051_R","12147","2","4535"
"10059_10020_R","13047","1","4535"
"10059_10020_R","13049","2","4535"
"10059_10020_R","18478","3","4535"
"10059_10020_R","13053","4","4535"
"10059_10020_R","21090","5","4535"
"10059_10020_R","25233","6","4535"
"10061_10061_R","19444","1","4535"
"10061_10061_R","22958","2","4535"
"10061_10061_R","23146","3","4535"
"10061_10061_R","7890","4","4535"
"10061_10061_R","8384","5","4535"
"10061_10061_R","22959","6","4535"
"10061_10061_R","23147","7","4535"
"10063_10063_R","11306","1","4535"
"10063_10063_R","13591","2","4535"
"10063_10063_R","25273","3","4535"
"10063_10063_R","13190","4","4535"
"10063_10063_R","11365","5","4535"
"10063_10063_R","11328","6","4535"
"10063_10063_R","25278","7","4535"
"10063_10063_R","13202","8","4535"
"10067_10067_R","11306","1","4535"
"10067_10067_R","13591","2","4535"
"10067_10067_R","25273","3","4535"
"10067_10067_R","13190","4","4535"
"10067_10067_R","11365","5","4535"
"10067_10067_R","11328","6","4535"
"10067_10067_R","25278","7","4535"
"10067_10067_R","13202","8","4535"
"10068_10068_R","11306","1","4535"
"10068_10068_R","25273","2","4535"
"10068_10068_R","13190","3","4535"
"10068_10068_R","11327","4","4535"
"10068_10068_R","11328","5","4535"
"10068_10068_R","25278","6","4535"
"10072_10077_R","19444","1","4535"
"10072_10077_R","22958","2","4535"
"10072_10077_R","23146","3","4535"
"10072_10077_R","7890","4","4535"
"10072_10077_R","8384","5","4535"
"10072_10077_R","22959","6","4535"
"10072_10077_R","23147","7","4535"
"10073_10073_R","11306","1","4535"
"10073_10073_R","13591","2","4535"
"10073_10073_R","25273","3","4535"
"10073_10073_R","13190","4","4535"
"10073_10073_R","11308","5","4535"
"10073_10073_R","25277","6","4535"
"10073_10073_R","11319","7","4535"
"10073_10073_R","25274","8","4535"
"10073_10073_R","13202","9","4535"
"10075_10075_R","19444","1","4535"
"10075_10075_R","11365","2","4535"
"10075_10075_R","22958","3","4535"
"10075_10075_R","23146","4","4535"
"10075_10075_R","7890","5","4535"
"10075_10075_R","8384","6","4535"
"10075_10075_R","22959","7","4535"
"10075_10075_R","23147","8","4535"
"10080_10076_R","10616","1","4535"
"10080_10076_R","11332","2","4535"
"10080_10076_R","10620","3","4535"
"10080_10076_R","10617","4","4535"
"10080_10076_R","24053","5","4535"
"10086_10121_R","9286","1","4535"
"10086_10121_R","25314","2","4535"
"10086_10121_R","25316","3","4535"
"10086_10121_R","10412","4","4535"
"10086_10121_R","21821","5","4535"
"10086_10121_R","21823","6","4535"
"10086_10121_R","21824","7","4535"
"10087_10157_R","8676","1","4535"
"10087_10157_R","9245","2","4535"
"10087_10157_R","25350","3","4535"
"10087_10157_R","25352","4","4535"
"10087_10157_R","7601","5","4535"
"10087_10157_R","9251","6","4535"
"10089_4295_R","9229","1","4535"
